user_id,session_id,timestamp
user_68,user_68_s5946,2024-06-26
user_69,user_69_s9335,2024-06-21
user_69,user_69_s8266,2024-06-12
user_69,user_69_s8192,2024-06-20
user_70,user_70_s6588,2024-06-04
user_70,user_70_s4636,2024-06-23
user_70,user_70_s2167,2024-06-25
user_71,user_71_s3156,2024-06-21
user_71,user_71_s6161,2024-06-26
user_71,user_71_s7541,2024-06-26
user_72,user_72_s8330,2024-06-23
user_73,user_73_s5330,2024-06-11
user_74,user_74_s5846,2024-06-12
user_74,user_74_s8241,2024-06-26
user_75,user_75_s8056,2024-06-29
user_75,user_75_s2542,2024-06-14
user_75,user_75_s2191,2024-06-10
user_75,user_75_s7938,2024-06-26
user_76,user_76_s2540,2024-06-29
user_76,user_76_s6541,2024-06-19
user_77,user_77_s2365,2024-06-20
user_77,user_77_s9702,2024-06-07
user_77,user_77_s5312,2024-06-13
user_77,user_77_s4141,2024-06-28
user_78,user_78_s2810,2024-06-29
user_78,user_78_s3923,2024-06-22
user_78,user_78_s5186,2024-06-10
user_79,user_79_s5268,2024-06-13
user_79,user_79_s5849,2024-06-28
user_80,user_80_s7619,2024-06-08
user_80,user_80_s4072,2024-06-03
user_81,user_81_s1504,2024-06-28
user_82,user_82_s8576,2024-06-24
user_83,user_83_s6029,2024-06-21
user_84,user_84_s3105,2024-06-12
user_84,user_84_s7316,2024-06-29
user_85,user_85_s5175,2024-06-22
user_85,user_85_s6348,2024-06-04
user_85,user_85_s7190,2024-06-09
user_86,user_86_s6645,2024-06-15
user_87,user_87_s4584,2024-06-21
user_87,user_87_s9053,2024-06-03
user_87,user_87_s3703,2024-06-23
user_88,user_88_s8114,2024-06-12
user_89,user_89_s6063,2024-06-06
user_89,user_89_s8575,2024-06-28
user_90,user_90_s7819,2024-06-26
user_91,user_91_s3745,2024-06-28
user_91,user_91_s1539,2024-06-28
user_91,user_91_s5964,2024-06-09
user_91,user_91_s5835,2024-06-27
user_92,user_92_s8102,2024-06-17
user_92,user_92_s6320,2024-06-01
user_93,user_93_s8891,2024-06-13
user_94,user_94_s1924,2024-06-13
user_94,user_94_s2581,2024-06-03
user_94,user_94_s4324,2024-06-06
user_94,user_94_s6713,2024-06-19
user_95,user_95_s5804,2024-06-15
user_95,user_95_s1009,2024-06-24
user_95,user_95_s9989,2024-06-18
user_95,user_95_s8418,2024-06-13
user_96,user_96_s2015,2024-06-01
user_97,user_97_s3193,2024-06-15
user_97,user_97_s8449,2024-06-25
user_98,user_98_s7970,2024-06-27
user_98,user_98_s5784,2024-06-13
user_99,user_99_s2633,2024-06-09
user_100,user_100_s9702,2024-06-01
user_100,user_100_s1404,2024-06-16
user_100,user_100_s3000,2024-06-05
